,elements,papername,author,year,state,charge,defect,Ed,title,doi,measurement_technique,defectID,Ed_a,Ed_h,dEd_h,isbn,comments,k,sample.growth,sample.dopant,sample.incorporation,sigma_ha,sigma_ea,dEd_a,e_h,sample.resistivity,measurement_details.Ur,measurement_data.T,measurement_data.e,sigma_h,dsigma_e,sigma_e,measurement_details.T,measurement_details.tp,dEd,dk,measurement_details.single_shot,dsigma_ea,issn,linked,c_e,c_h,e_e,measurement_details.Up,measurement_details.Rw,dsigma_ha,dsigma_h,measurement_details.low_field
896,['Au'],taft1954,taft,1954,['s'],d,Au_s,Ev+0.33,Gold as a Donor in Silicon,10.1103/PhysRev.93.64,Resistivity,Au_sd_taft1954_1954_Ev+0.33,,,,,Doped different samples with different amounts of gold. This is a thermal activation energy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,['Au'],newman1954,newman,1954,['s'],d,Au_s,Ev+0.325,Photoconductivity in Gold-Doped Silicon,10.1103/PhysRev.94.1530,PC-S,Au_sd_newman1954_1954_Ev+0.325,,,,,Same samples as Taft1954. Potentiall saw a level at Ev+0.7.,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,
781,['B'],fan1956,fan,1956,[''],,B_,Ev+0.046,Infra-red Absorption in Semiconductors,10.1088/0034-4885/19/1/304,"review, infrared absorption",B__fan1956_1956_Ev+0.046,,,,,"Agrees well with thermal values of 0.045 eV. Data showed a broad peak, so the hydrogenic model was used. The integrated absorption cross sections for these excitation bands differ considerably from those for the hydrogenic model.",,,,,,,,,,,,,,,,,,,,,,,B_s_a.srh,,,,,,,,
131,['Al'],fan1956,fan,1956,[''],,Al_,Ev+0.067,Infra-red Absorption in Semiconductors,10.1088/0034-4885/19/1/304,"review, infrared absorption",Al__fan1956_1956_Ev+0.067,,,,,The ionization energy was estimated using the observed excitation band of highest energy. Higher than thermal value of Ev+0.057,,,,,,,,,,,,,,,,,,,,,,,Al_s_a.srh,,,,,,,,
669,['Mn'],carlson1956,carlson,1956,[''],,Mn_,Ec-0.53,Properties of Silicon Doped with Manganese,10.1103/PhysRev.104.937,"Hall, R-T, PC-S",Mn__carlson1956_1956_Ec-0.53,,,,,Shows electron traps.,,CZ,boron,ion implantation,,,,,50-100,,,,,,,,,0.03,,,,,,,,,,,,,
459,['In'],blakemore1956,blakemore,1956,[''],,In_,None,Photoconductivity in Indium-Doped Silicon,,PC-S,In__blakemore1956_1956_None,,,,,"Points to the strange temperature coefficient. Maybe be due to a) iononisation of defects, b) recombination through higher excited Indium states and this would not be detected by PC.",,,,,,,,,,,,,1e-13*exp(0.055/kT),,,"77.5K, 90K, 90K",,,,,,,In_s_a.srh,,,,,,,,
187,['Ga'],fan1956,fan,1956,[''],,Ga_,Ev+0.071,Infra-red Absorption in Semiconductors,10.1088/0034-4885/19/1/304,"review, infrared absorption",Ga__fan1956_1956_Ev+0.071,,,,,The ionization energy was estimated using the observed excitation band of highest energy. Higher than thermal value of Ev+0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,['In'],fan1956,fan,1956,[''],,In_,Ev+0.16,Infra-red Absorption in Semiconductors,10.1088/0034-4885/19/1/304,"review, infrared absorption",In__fan1956_1956_Ev+0.16,,,,,The ionization energy was estimated using the observed excitation band of highest energy. Good agreement with the thermal value of Ev+0.16. This turned out to be an acceptor level,,,,,,,,,,,,,,,,,,,,,,,In_s_a.srh,,,,,,,,
959,['Zn'],carlson1957,carlson,1957,['s'],aa,Zn_s,Ec-0.55,Double-Acceptor Behavior of Zinc in Silicon,10.1103/PhysRev.108.1390,Hall,Zn_saa_carlson1957_1957_Ec-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,['Fe'],collins1957a,collins,1957,['i'],d,Fe_i,Ev+0.4,Properties of Silicon Doped with Iron or Copper,10.1103/PhysRev.108.1409,"Hall, LS",Fe_id_collins1957a_1957_Ev+0.4,,,,,capture cross sections from lifetime data.,,,,,,,,,,,,,3e-16,,,,,,,,,,,,,,,,,,
